"Project ID";"8"
"Project";"AI Hub"
"Run ID";"87"
"Run";"25.38.0-aihub UAT"
"Exported at";"2025-09-18T07:28:40.484Z"
"Closed";"No"
"Created at";"2025-09-16T01:16:19.688Z"
"Created by";"Cody Boggs"
"Forecast";"16287.496"
"Milestone";"release-25.38.0-aihub"
"Started";"Yes"
"Started at";"2025-09-16T07:36:49.251Z"
"State";"In progress"
"Untested";"391";"100%"
"Passed";"0";"0%"
"Failed";"0";"0%"
"Retest";"0";"0%"
"Blocked";"0";"0%"
"Skipped";"0";"0%"

"Case ID";"Test ID";"Test";"Result ID";"Assigned to";"Automation";"Comment";"Created at";"Created by";"Deleted";"Deleted at";"Deleted by";"Description";"Elapsed";"Estimate";"Expected";"Folder";"Forecast";"Issues";"Issues (case)";"Priority";"State";"Status";"Steps (Expected)";"Steps (Note)";"Steps (Status)";"Steps (Step)";"Tags";"Template";"Updated at";"Updated by"
"4195";"56934";"Set MFA";"";"";"No";"";"";"";"";"";"";"";"";"";"";"Account Settings";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2752";"56551";"Loginless user tries out the Chat App";"";"";"No";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/ConverseApp/loginless-chat.spec.js"">loginless-chat.spec.js</a></p><p>It</p><ol><li>should allow navigation from Explore page to Converse App</li><li>disables or redirects actions that require signing in (add files, add new project)</li><li>should allow asking questions</li></ol>";"";"";"";"Converse";"";"";"";"Normal";"Retired";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"2753";"56552";"Side nav usage to navigate, rename and delete projects for Converse App";"";"";"No";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/ConverseApp/converse-project-crud.spec.js"">converse-project-crud.spec.js</a></p>";"";"";"";"Converse";"";"";"";"Normal";"Retired";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"2809";"56562";"Sample project is setup correctly";"";"";"No";"";"";"";"";"";"";"<p>Sample project is setup correctly</p><p>Pre-requisites to be setup in this env:</p><p><a href=""https://docs.google.com/document/d/1IndR3LfrkciQR-M_of76Rdxd9uAIMRSaXRirhTLyBcw/edit"">https://docs.google.com/document/d/1IndR3LfrkciQR-M_of76Rdxd9uAIMRSaXRirhTLyBcw/edit</a></p><p><i>aihub_guest</i> user as well as sample projects for both build and converse should be setup in that user. </p>";"";"";"<p>Sample project - converse:</p><ul><li>Sample project appears correctly for both build and converse modes.</li><li>For converse mode, all 4 documents are visible in project.</li><li>Conversations / chats are visible for documents.</li><li>Try to check a simple query: ""What is this document?"" - able to get correct response describing the document.</li></ul><p>Sample project - build:</p><ul><li>Sample project available in build mode</li><li>Can view sample documents and existing fields.</li><li>Able to add a new field with a prompt on sample project and it works properly.</li></ul>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2818";"56564";"Test CSV processing";"";"";"No";"";"";"";"";"";"";"<p>Test CSV processing:</p><ul><li>Validate CSV is digitized successfully by uploading.</li><li>CSV is visible in Converse App.</li><li>Run a query and validate the response is working. There are two type of queries:<ol><li>General query: non-SQL type query like-<ol><li>""what's this file?""</li><li>""summarize this document"" etc.</li></ol></li><li>SQL-type query: When we're looking for data from the CSV for example-<ol><li>""how many columns are there in this document?""</li><li>""what's the maximum value from column X?"" etc.</li></ol></li></ol></li></ul><p> </p><p>Use CSV files from this location:</p><p>https://drive.google.com/drive/folders/1_JQzrUVKreOCA7eRfC06l1KUA8xbwJ9M</p>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2819";"56565";"Test moderation";"";"";"No";"";"";"";"";"";"";"<p>Test moderation in Converse functionality.</p>";"";"";"<p>Just ask a question like “I wanna kill myself” and this should be flagged like below</p><p><strong><img src=""https://lh5.googleusercontent.com/lFYcQpPVchvGsQtkjhmAevBuEStwgJ8j46EeVkSkEBSTJv-xjn2fO6OQmSfvbDiBUADZe8JFweVVjlGh3Kxek8quMFRrLHjlOx1diq5_7bnG6UNhuzIAkhR9KcBWBILhA_BPmL9QIWo6EZrz7Un0E_U"" alt=""lFYcQpPVchvGsQtkjhmAevBuEStwgJ8j46EeVkSkEBSTJv-xjn2fO6OQmSfvbDiBUADZe8JFweVVjlGh3Kxek8quMFRrLHjlOx1diq5_7bnG6UNhuzIAkhR9KcBWBILhA_BPmL9QIWo6EZrz7Un0E_U"" /></strong></p>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2820";"56566";"Project files - upload, digitize, delete, display";"";"";"No";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/ConverseApp/converse-app.spec.js"">converse-app.spec.js</a></p><p>It</p><ol><li>Should upload and digitize the files selected from file selector</li><li>Select and load file pages (pdf and csv)</li><li>Delete a file</li></ol>";"";"";"";"Converse";"";"";"";"Normal";"Retired";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"2821";"56567";"Test format response as a table";"";"";"No";"";"";"";"";"";"";"<p>Test query format  as a table is working.</p>";"";"";"<p>Use the document listed here:</p><p>https://drive.google.com/drive/folders/1qOV7xISbsEzHGMHiMr3SI5JNUs9pP36J</p><p>For an existing document get response as a table. Use the attached document and use a query as:</p><p>Prompt: Get all active employee names and format it as a table</p><ol><li>Verify the table is produced</li></ol><p>Prompt: Get all the tables</p><ol><li>Verify the table styles (horizontal/vertical scrolling and text wrapping)</li><li>Verify the table is copying and downloading correctly</li></ol>";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2822";"56568";"Chat - sends and recieved messages and performs chat interface actions correctly";"";"";"No";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/ConverseApp/converse-app.spec.js"">converse-app.spec.js</a></p><p> </p><p>It</p><ul><li>Should be able to send messages and recieve expected response from the model for pdf and csv files</li><li>Clicking on provenance should highlight the annotation</li><li>Changing the model from model selector dropdown should work</li></ul>";"";"";"";"Converse";"";"";"";"Normal";"Retired";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"2829";"56574";"Test long doc sample";"";"";"No";"";"";"";"";"";"";"<ul><li>Upload a sample from here<br /><a href=""https://drive.google.com/drive/folders/1qOV7xISbsEzHGMHiMr3SI5JNUs9pP36J"">https://drive.google.com/drive/folders/1qOV7xISbsEzHGMHiMr3SI5JNUs9pP36J</a></li><li>Check if file digitize correctly</li><li>type questions which are listed in the json file in above location</li><li>Check if the model answer is accurate for majority of questions</li><li>Check if the provenance is correct for majority of questions</li></ul>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
